surface,route,domain,owner_module,priority,canonical_source_sets,project_coverage_claim,project_coverage_named_mockups,matched_claude_candidates,matched_html_file_count,current_figma_status,figma_page,figma_node_ids,current_react_status,react_entry,canonicalization_status,discrepancy_flags,proposed_delivery_wave,next_action
app-role,/app/expert/profile,Expert profile,Expert,P1,set21,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
app-role,/app/expert/services,Service packages,Service,P1,set21,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
app-role,/app/expert/availability,Availability,Availability,P1,set21/57,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
app-role,/app/expert/bookings,Booking requests,Booking,P1,set21/57,PARTIAL,BookAppointment,BookAppointment | BookingDetails,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/partner,Partner dashboard,Partner,P2,set4/57,DONE,PartnerOverview / StoreProfileSetup / ProductFeedSetup,PartnerApplication | PartnerOverview | PartnerStoresLanding,6,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/partner/store,Store profile,Store,P2,set14,DONE,PartnerOverview / StoreProfileSetup / ProductFeedSetup,StoreProfileSetup | StoreVerification,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/partner/feed,Product feed,Product,P2,set14,DONE,PartnerOverview / StoreProfileSetup / ProductFeedSetup,ApiConnection | FeedDiagnostics | ProductFeedSetup | UploadFeed,8,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/partner/campaigns,Campaigns,Campaigns,P2,set15,PARTIAL,AffiliateTracking / PartnerAgreement,AffiliateTracking,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/partner/billing,Billing/commission,Billing,P2,set4,PARTIAL,AffiliateTracking / PartnerAgreement,PartnerAgreement,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/municipality,Municipality dashboard,Municipality,P2,set4/23,DONE,Municipality / MunicipalityDetail,Municipality,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/municipality/programs,Public programs,Public,P2,set23,DONE,Municipality / MunicipalityDetail,MunicipalityDetail,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/municipality/reports,Reporting,Reporting,P2,set23/55,DONE,AdminMunicipalityReports,AdminMunicipalityReports,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/municipality/governance,Data scope,Data,P0,set23/63,DONE,MunicipalityGovernance,MunicipalityGovernance,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/municipality/governance/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin,Admin dashboard,Admin,P0,Sprint0/set25,DONE,AdminDashboard,AdminDashboard,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/users,User management,User,P0,Sprint0/set25,DONE,AdminUsers,AdminUsers,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/users/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/listings,Listing moderation,Listing,P0,Sprint0/set25,DONE,AdminListingModeration,AdminListingModeration,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/listings/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/events,Event administration,Event,P1,Sprint0/set25,DONE,AdminEvents / AdminEventAdministration,AdminEventAdministration | AdminEvents,3,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/reports,Reports,Reports,P1,Sprint0/set27,DONE,AdminReportsQueue,AdminReportsQueue,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/audit-log,Audit log,Audit,P0,Sprint0/set22/56,DONE,AdminAuditLog,AdminAuditLog,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/audit-log/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/moderation,Moderation dashboard,Moderation,P0,set56,PARTIAL,ModerateReport,ModerateReport,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/moderation/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/moderation/reports,Reports queue,Reports,P0,set22/56,DONE,AdminReportsQueue,AdminReportsQueue,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/moderation/reports/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/moderation/appeals,Appeals,Appeals,P0,set22/56,DONE,AdminAppeals,AdminAppeals,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/moderation/appeals/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/approvals,Supply approvals,Supply,P1,set25,PARTIAL,ProductApproval,ProductApproval,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/finance,Finance overview,Finance,P2,set31/62,DONE,AdminFinanceOverview,AdminFinanceOverview,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/finance/refunds,Refunds,Refunds,P2,set31/62,DONE,AdminFinanceRefunds,AdminFinanceRefunds,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/finance/disputes,Disputes,Disputes,P2,set31/62,DONE,AdminFinanceDisputes,AdminFinanceDisputes | DisputeReport,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/finance/commissions,Commissions,Commissions,P2,set31/62,DONE,AdminFinanceCommissions,AdminFinanceCommissions,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/finance/payouts,Payouts,Payouts,P2,set31/62,DONE,AdminFinancePayouts,AdminFinancePayouts,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/finance/invoices,Invoices,Invoices,P2,set31/62,DONE,AdminFinanceInvoices,AdminFinanceInvoices,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/support,Helpdesk,Helpdesk,P2,set28,DONE,AdminSupport,AdminSupport,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/settings,Platform settings,Platform,P2,set26,DONE,AdminSettings,AdminSettings,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/system,System operations,System,P3,set29,DONE,AdminSystem,AdminSystem,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/privacy,Privacy governance,Privacy,P0,set63,DONE,AdminPrivacyGovernance,AdminPrivacyGovernance,2,UNDECIDED,,,PLACEHOLDER,src/app/(admin)/admin/privacy/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
admin,/admin/analytics,Analytics,Analytics,P2,set27,DONE,AdminAnalytics,AdminAnalytics,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
